2022-03-22 16:44:06 startup archives install
2022-03-22 16:44:06 install base-passwd:amd64 <none> 3.5.51
2022-03-22 16:44:06 status half-installed base-passwd:amd64 3.5.51
2022-03-22 16:44:06 status unpacked base-passwd:amd64 3.5.51
2022-03-22 16:44:06 configure base-passwd:amd64 3.5.51 3.5.51
2022-03-22 16:44:06 status half-configured base-passwd:amd64 3.5.51
2022-03-22 16:44:06 status installed base-passwd:amd64 3.5.51
2022-03-22 16:44:06 startup archives install
2022-03-22 16:44:06 install base-files:amd64 <none> 11.1+deb11u2
2022-03-22 16:44:06 status half-installed base-files:amd64 11.1+deb11u2
2022-03-22 16:44:06 status unpacked base-files:amd64 11.1+deb11u2
2022-03-22 16:44:06 configure base-files:amd64 11.1+deb11u2 11.1+deb11u2
2022-03-22 16:44:06 status half-configured base-files:amd64 11.1+deb11u2
2022-03-22 16:44:06 status installed base-files:amd64 11.1+deb11u2
2022-03-22 16:44:06 startup archives install
2022-03-22 16:44:06 upgrade dpkg 1.20.9 1.20.9
2022-03-22 16:44:06 status half-configured dpkg 1.20.9
2022-03-22 16:44:06 status unpacked dpkg 1.20.9
2022-03-22 16:44:06 status half-installed dpkg 1.20.9
2022-03-22 16:44:06 status unpacked dpkg:amd64 1.20.9
2022-03-22 16:44:06 configure dpkg:amd64 1.20.9 1.20.9
2022-03-22 16:44:06 status half-configured dpkg:amd64 1.20.9
2022-03-22 16:44:06 status installed dpkg:amd64 1.20.9
2022-03-22 16:44:06 startup archives install
2022-03-22 16:44:06 install libc6:amd64 <none> 2.31-13+deb11u2
2022-03-22 16:44:06 status half-installed libc6:amd64 2.31-13+deb11u2
2022-03-22 16:44:07 status unpacked libc6:amd64 2.31-13+deb11u2
2022-03-22 16:44:07 configure libc6:amd64 2.31-13+deb11u2 2.31-13+deb11u2
2022-03-22 16:44:07 status half-configured libc6:amd64 2.31-13+deb11u2
2022-03-22 16:44:07 status installed libc6:amd64 2.31-13+deb11u2
2022-03-22 16:44:07 startup archives install
2022-03-22 16:44:07 install perl-base:amd64 <none> 5.32.1-4+deb11u2
2022-03-22 16:44:07 status half-installed perl-base:amd64 5.32.1-4+deb11u2
2022-03-22 16:44:07 status unpacked perl-base:amd64 5.32.1-4+deb11u2
2022-03-22 16:44:07 configure perl-base:amd64 5.32.1-4+deb11u2 5.32.1-4+deb11u2
2022-03-22 16:44:07 status half-configured perl-base:amd64 5.32.1-4+deb11u2
2022-03-22 16:44:07 status installed perl-base:amd64 5.32.1-4+deb11u2
2022-03-22 16:44:07 startup archives install
2022-03-22 16:44:07 install mawk:amd64 <none> 1.3.4.20200120-2
2022-03-22 16:44:07 status half-installed mawk:amd64 1.3.4.20200120-2
2022-03-22 16:44:07 status unpacked mawk:amd64 1.3.4.20200120-2
2022-03-22 16:44:07 configure mawk:amd64 1.3.4.20200120-2 1.3.4.20200120-2
2022-03-22 16:44:07 status half-configured mawk:amd64 1.3.4.20200120-2
2022-03-22 16:44:07 status installed mawk:amd64 1.3.4.20200120-2
2022-03-22 16:44:07 startup archives install
2022-03-22 16:44:07 install debconf:all <none> 1.5.77
2022-03-22 16:44:07 status half-installed debconf:all 1.5.77
2022-03-22 16:44:07 status unpacked debconf:all 1.5.77
2022-03-22 16:44:07 configure debconf:all 1.5.77 1.5.77
2022-03-22 16:44:07 status half-configured debconf:all 1.5.77
2022-03-22 16:44:07 status installed debconf:all 1.5.77
2022-03-22 16:44:08 startup archives unpack
2022-03-22 16:44:08 install libacl1:amd64 <none> 2.2.53-10
2022-03-22 16:44:08 status half-installed libacl1:amd64 2.2.53-10
2022-03-22 16:44:08 status unpacked libacl1:amd64 2.2.53-10
2022-03-22 16:44:08 install adduser:all <none> 3.118
2022-03-22 16:44:08 status half-installed adduser:all 3.118
2022-03-22 16:44:08 status unpacked adduser:all 3.118
2022-03-22 16:44:08 install apt:amd64 <none> 2.2.4
2022-03-22 16:44:08 status half-installed apt:amd64 2.2.4
2022-03-22 16:44:08 status unpacked apt:amd64 2.2.4
2022-03-22 16:44:08 install libapt-pkg6.0:amd64 <none> 2.2.4
2022-03-22 16:44:08 status half-installed libapt-pkg6.0:amd64 2.2.4
2022-03-22 16:44:08 status unpacked libapt-pkg6.0:amd64 2.2.4
2022-03-22 16:44:08 install libattr1:amd64 <none> 1:2.4.48-6
2022-03-22 16:44:08 status half-installed libattr1:amd64 1:2.4.48-6
2022-03-22 16:44:08 status unpacked libattr1:amd64 1:2.4.48-6
2022-03-22 16:44:08 install libaudit-common:all <none> 1:3.0-2
2022-03-22 16:44:08 status half-installed libaudit-common:all 1:3.0-2
2022-03-22 16:44:08 status unpacked libaudit-common:all 1:3.0-2
2022-03-22 16:44:08 install libaudit1:amd64 <none> 1:3.0-2
2022-03-22 16:44:08 status half-installed libaudit1:amd64 1:3.0-2
2022-03-22 16:44:08 status unpacked libaudit1:amd64 1:3.0-2
2022-03-22 16:44:08 upgrade base-files:amd64 11.1+deb11u2 11.1+deb11u2
2022-03-22 16:44:08 status half-configured base-files:amd64 11.1+deb11u2
2022-03-22 16:44:08 status unpacked base-files:amd64 11.1+deb11u2
2022-03-22 16:44:08 status half-installed base-files:amd64 11.1+deb11u2
2022-03-22 16:44:08 status unpacked base-files:amd64 11.1+deb11u2
2022-03-22 16:44:08 upgrade base-passwd:amd64 3.5.51 3.5.51
2022-03-22 16:44:08 status half-configured base-passwd:amd64 3.5.51
2022-03-22 16:44:08 status unpacked base-passwd:amd64 3.5.51
2022-03-22 16:44:08 status half-installed base-passwd:amd64 3.5.51
2022-03-22 16:44:08 status unpacked base-passwd:amd64 3.5.51
2022-03-22 16:44:08 install bash:amd64 <none> 5.1-2+b3
2022-03-22 16:44:08 status half-installed bash:amd64 5.1-2+b3
2022-03-22 16:44:08 status unpacked bash:amd64 5.1-2+b3
